"Name","Year","Directors","Producers","Actors"
"In Good Company","2004","Paul Weitz","Chris Weitz, Paul Weitz","Dennis Quaid, Scarlett Johansson, Topher Grace, Selma Blair, Marg Helgenberger, David Paymer, Clark Gregg, Philip Baker Hall, Frankie Faison, Ty Burrell, Kevin Chapman, Amy Aquino, Zena Grey, Colleen Camp, Lauren Tom, John Cho, Ron Bottitta, Jon Collin Barclay, Shishir Kurup, Tim Rhoze, Enrique Castillo, Chris Ausnit, Francesca P. Roberts, Gregory North, Gregory Hinton, Todd Lyon, Thomas J. Dooley, Robin T. Kirksey, Katherine Ellis, Nick Schutt, John Kepley, Mobin Khan, Jeanne Kort, Dean A. Parker, Richard Hotson, Shar Washington, Rebecca Hedrick, Miguel Arteta, Sam Tippe, Roma Torre, Andre Cablayan, Dante Powell, Bennett Andrews, Claudia Barroso, Audrey Harris, Ted Hollis, Malcolm McDowell, Rich Odell, Scott Sahadi, Michalina Almindo, Loretta Shenosky, Trevor Stynes"
"The Invasion","2007","Oliver Hirschbiegel, James McTeigue","Joel Silver","Nicole Kidman, Daniel Craig, Jeremy Northam, Jackson Bond, Jeffrey Wright, Veronica Cartwright, Malin Åkerman, Alexis Raben, Celia Weston, Jeff Wincott, Josef Sommer, Wes Johnson, Susan Floyd, John James Dubouchet, Roger Rees, Adam LeFevre, Eric Benjamin, Stephanie Berry, Joanna Merlin, Ernest E. Brown, Field Blauvelt, Rhonda Overby, Reid Sasser, Brandon Price, Mia Arnice Chambers, Ava Lenet, Michael Andrew Kelly, Jeremiah Hake, Luray Cooper, Nanna Ingvarsson, Becky Woodley, Parker Webb, Cloie Wyatt Taylor, John Colton, John Leslie Wolfe, Michael Stone Forrest, Timothy J. Scanlin Jr., Tara Garwood, Genevieve Adell, Derren Fuentes, Darla Robinson, Brian Augustus Parnell, Benjamin Bullard, Jean Miller, Jean Schertler, Mike D. Anderson, James E. Ash, Cyril Augustin, Joanna Becker, Erin Leigh Bushko, Robert Randolph Caton, Natalie Christina, Ronnie Connell, Dave Cooperman, John Doty, Pamela Fischer, Barney Fitzpatrick, Jennifer Frappier, Tyler Gatton, Thomas M. Hagen, Art Hall, Greg Hindsley, Rick Kain, Kawan Kean, Errol Krass, Aaron Michael Lacey, Kirk Lambert, Chris K. Layman, Vernon Lewis, Julie Mabry, Nina Manni, Kerry Meushaw, Keith Moyer, Manny Oliverez, Christopher Phillips, Vincent Riviezzo, Derek A. Smith, Debbie Tsamoudakis, Towanda Underdue, Ricky Watson, Don Whatley, Stephen Zaleski"
"Little Children","2006","Todd Field","Albert Berger, Todd Field, Ron Yerxa","Kate Winslet, Patrick Wilson, Jennifer Connelly, Noah Emmerich, Jackie Earle Haley, Gregg Edelman, Sadie Goldstein, Ty Simpkins, Phyllis Somerville, Helen Carey, Catherine Wolf, Mary B. McCann, Trini Alvarado, Marsha Dietlein, Jane Adams, Will Lyman, Raymond J. Barry, Mary Goggin, Christopher Nicholas Smith"
"Shooter","2007","Antoine Fuqua","Lorenzo di Bonaventura, Ric Kidney","Mark Wahlberg, Michael Peña, Danny Glover, Kate Mara, Elias Koteas, Rhona Mitra, Ned Beatty, Jonathan Lloyd Walker, Louis Ferreira, Tate Donovan, Rade Šerbedžija, Alan C. Peterson, Lane Garrison, Zak Santiago, Michael-Ann Connor, Levon Helm, Mike Dopud, Ernest E. Brown, Shawn Reis, Brian Markinson, Michael St. John Smith, Dean Mckenzie, Tom Butler, Adrian Hughes, Darrin Massey, Rebecca Toolan, Trish Allen, James Wettengl, John Tench, David Bloom, Brad Kelly, David Neale, Susan Barnett, Ukee Washington, Dagmar Midcap, Darrin Maharaj, Anthony McCrae, Chic Gibson, Danny Hernandez, Jonathan Eusebio, Vale Anoai, Alexander Emmert, Joe Barlam, Sharon Carpenter-Rose, Alice Chamberlain, Karen Chamberlain, Damien Colletti, Holly Eglington, Liam Ferguson, Patrick Ferguson, Tammy Gillis, Lauren Glazier, Thomas M. Hagen, Richard Jollymore, Michael Wingate Jones, Fred Keating, William James Kelly, Lawrence Laravela, Roberto Lombardi, Steve Lord, Mac MacDonald, Peter Mason, Laurence Mullaney, Ken Myers, Manny Oliverez, Henry Penzi, Lil Rhee, Vincent Riviezzo, Kurt Runkle, Roger Sands, Chuck Schanamann, David Adam Smith, Eugene Smith, Patrick Michael Strange, Ian Thompson, Frank Traynor, Sean Traynor, Daniel Van Wert, Kimberly Villanova, Torell Vinson, Jamal Weathers, Don Whatley, Mike Wilson, Mackenzie Gray, Ken Myers, Patrick Michael Strange, Patrick Michael Strange, Mike Wilson, Michael Wingate Jones"
"Gossip","2000","Davis Guggenheim, Terry Kinney","Robert Newmyer, Joel Schumacher, Silver Pictures","James Marsden, Lena Headey, Norman Reedus, Kate Hudson, Eric Bogosian, Edward James Olmos, Joshua Jackson, Sharon Lawrence, Marisa Coughlan"
"What's Eating Gilbert Grape","1993","Lasse Hallström","David Matalon, Bertil Ohlsson, Meir Teper","Johnny Depp, Juliette Lewis, Leonardo DiCaprio, Darlene Cates, Mary Steenburgen, Laura Harrington, Mary Kate Schellhardt, Kevin Tighe, Crispin Glover, John C. Reilly, Penelope Branning, Tim Green, Susan Loughran, Robert B. Hedges, Mark Jordan, Cameron Finley, Brady Coleman, Tim Simek, Nicholas Stojanovich, Libby Villari, Kay Bower, Joe Stevens, Mona Lee Fultz, George Haynes, Daniel Gullahorn, David H. Kramer, Drew Ebersole, Paulette Rubinstein, Peter Fernandez, Mary Alison Griffin, Jason Pace, Shelly Latham, Deborah Lee Johnson, Steve Cook, Patrick Welsh, Brent Bratton, Kirk Hunter, Buck Reynolds, David Stanford, Cameron Finley"
"The Shawshank Redemption","1994","Frank Darabont","Niki Marvin","Tim Robbins, Bob Gunton, Clancy Brown, Gil Bellows, James Whitmore, William Sadler, Mark Rolston, Renee Blaine, Larry Brandenburg, Jeffrey DeMunn, Brian Libby, Neil Giuntoli, Joseph Ragno, David Proval, Paul McCrane, Jude Ciccolella, Morgan Freeman, Scott Mann, John Horton, Gordon Greene, Alfonso Freeman, V.J. Foster, John E. Summers, Frank Medrano, Mack Miles, Alan R. Kessler, Morgan Lund, Cornell Wallace, Gary Lee Davis, Neil Summers, Ned Bellamy, Joe Pecoraro, Harold E. Cope Jr., Brian Delate, Don McManus, Donald Zinn, Dorothy Silver, Robert Haley, Dana Snyder, John D. Craig, Ken Magee, Eugene C. DePasquale, Bill Bolender, Ron Newell, John R. Woodward, Chuck Brauchler, Dion Anderson, Claire Slemmer, James Kisicki, Rohn Thomas, Charlie Kearns, Rob Reider, Brian Brophy, Paul Kennedy, James Babson, Dennis Baker, Fred Culbertson, Richard Doone, Rita Hayworth, Alonzo F. Jones, Michael Lightsey, Brad Spencer"
"Pulp Fiction","1994","Quentin Tarantino","Lawrence Bender","Bruce Willis, Samuel L. Jackson, Steve Buscemi, Amanda Plummer, Christopher Walken, Harvey Keitel, John Travolta, Maria de Medeiros, Ving Rhames, Tim Roth, Frank Whaley, Duane Whitaker, Uma Thurman, Eric Stoltz, Rich Turner, Emil Sitka, Angela Jones, Gary Shorelle, Laura Lovelace, Julia Sweeney, Paul Calderón, Quentin Tarantino, Jerome Patrick Hoban, Lawrence Bender, Joseph Pilato, Rene Beard, Brad Parker, Sy Sher, Devan Richardson, Linda Kaye, Bronagh Gallagher, Glendon Rich, Michael Gilden, Carl Allen, Burr Steers, Lorelei Leslie, Alexis Arquette, Rosanna Arquette, Susan Griffiths, Venessia Valentino, Dick Miller, Don Blakely, Eric Clark, Phil LaMarr, Chandler Lindauer, Kathy Griffin, Brenda Hillhouse, Stephen Hibbert, Robert Ruth, Ani Sava, Peter Greene, Venessia Valentino, Karen Maruyama, Cie Allman, Lori Pizzo"
"Platoon","1986","Oliver Stone","Arnold Kopelson","Willem Dafoe, Tom Berenger, Forest Whitaker, John C. McGinley, Johnny Depp, Keith David, Kevin Dillon, Francesco Quinn, Mark Moses, Reggie Johnson, Corey Glover, Chris Pedersen, Bob Orwig, Corkey Ford, David Neidorf, Charlie Sheen, Richard Edson, Tony Todd, Kevin Eshelman, Terry McIlvain, J. Adam Glover, Ivan Kane, Paul Sanchez, Dale Dye, Peter Hicks, Basile Achara, Steve Barredo, Chris Castillejo, Andrew B. Clark, Bernardo Manalili, Than Rogers, Li Thi Van, Clarisa Ortacio, Romy Sevilla, Matthew Westfall, Nick Nicholson, Warren McLean, Li Mai Thao, Ron Barracks, H. Gordon Boos, Mark Ebenhoch, Robert 'Rock' Galotti, Eric Hahn, Oliver Stone, Henry Strzalkowski"
"The Experiment","2010","Paul Scheuring","Marty Adelstein, Scott Nemes, Dawn Parouse, Maggie Monteith, Jeanette Buerling, Paul Scheuring, Bill Johnson","Forest Whitaker, Adrien Brody, Maggie Grace, Cam Gigandet, Fisher Stevens, David Banner, Travis Fimmel, Clifton Collins Jr., Ethan Cohn, Jason Lew, Piet Paulusma"
"Scent of a Woman","1992","Martin Brest","Martin Brest","Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar, Philip Seymour Hoffman, Todd Louiso, Ron Eldard, Bradley Whitford, Frances Conroy, Richard Venture, Gene Canfield, Rochelle Oliver, Tom Riis Farrell, Nicholas Sadler, Matt Smith, Sally Murphy, Michael Santoro, Alyson Feldman, Erika Feldman, Julian Stein, Max Stein, Anh Duong, Leonard Gaines, David Lansbury, Joseph Palmas, Baxter Harris, Francie Swift, Michael Simon, William Beckwith, Mansoor Najeeullah, J.T. Cromwell, Peter Carew, Paul Stocker, Mike Lisenco, Divina Cook, Russell Gibson, Jack Mulcahy, Lucy Smith, June Squibb, Margaret Eginton"
"The Godfather","1972","Francis Ford Coppola","Albert S. Ruddy","Marlon Brando, Al Pacino, James Caan, John Cazale, Robert Duvall, Diane Keaton, Talia Shire, Richard S. Castellano, Abe Vigoda, Al Lettieri, Gianni Russo, Sterling Hayden, Lenny Montana, Richard Conte, Al Martino, John Marley, Alex Rocco, Morgana King, Johnny Martino, Victor Rendina, Simonetta Stefanelli, Sofia Coppola, Louis Guss, Tom Rosqui, Joe Spinell, Gabriele Torrei, Richard Bright, Rudy Bond, Ron Gilbert, Salvatore Corsitto, Tony Giorgio, Vito Scotti, Tere Livrano, Jeannie Linero, Julie Gregg, Ardell Sheridan, Angelo Infanti, Corrado Gaipa, Franco Citti, Saro Urzì, Max Brandt, Tybee Brascia, Carmine Coppola, Don Costello, Sonny Grosso, Anthony Gounaris, Gian-Carlo Coppola, Robert Dahdah, Gray Frederickson, Raymond Martino, Lou Martini Jr., Peter Lemongello, Italia Coppola, Tony Lip, Joe Lo Grippo, Roman Coppola, Merrill Joels, Sal Richards, Frank Sivero, Filomena Spagnuolo, Nick Vallelonga, Burt Richards, Randy Jurgensen, Frank Macetta, Carol Morley, Rick Petrucelli, Nino Ruggeri, Ed Vantura, Matthew Vlahakis, Joseph Medeglia, Norm Bacchiocchi"
"The Prestige","2006","Christopher Nolan","Emma Thomas, Aaron Ryder, Christopher Nolan","Hugh Jackman, Christian Bale, Michael Caine, Scarlett Johansson, David Bowie, Ricky Jay, Piper Perabo, Andy Serkis, Rebecca Hall, Roger Rees, Ezra Buzzington, William Morgan Sheppard, Daniel Davis, Anthony DeMarco, Jim Piddock, Samantha Mahurin, Christopher Neame, Mark Ryan, Jamie Harris, Monty Stuart, Ron Perkins, J. Paul Moore, Chao-Li Chi, Gregory Humphreys, John B. Crye, Sean Howse, Julia Sanford, James Lancaster, Olivia Merg, Zoe Merg, Johnny Liska, Russ Fega, Kevin Will, Edward Hibbert, Christopher Judges, James Otis, Sam Menning, Brian Tahash, Scott Davis, Jodi Bianca Wise, Nikki Glick, Enn Reitel, Clive Kennedy, Rob Arbogast, Chris Cleveland, Basil McCurry, Erin Cipolletti, Ernest Heinz, Tim Pilleri, Wendy Rosoff, Gary Sievers, Inna Swann, Deanna Lynn Walsh, Jesse Wilde"
"Raging Bull","1980","Martin Scorsese","Robert Chartoff, Irwin Winkler","Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, Nicholas Colasanto, Theresa Saldana, John Turturro, Mario Gallo, Bill Hanrahan, Frank Adonis, Charles Scorsese, Don Dunphy, Lori Anne Flax, Frank Topham, Joseph Bono, Martin Scorsese"
"Sin City","2005","Frank Miller, Robert Rodriguez, Quentin Tarantino","Elizabeth Avellán","Bruce Willis, Mickey Rourke, Clive Owen, Jessica Alba, Benicio del Toro, Rutger Hauer, Michael Madsen, Brittany Murphy, Nick Stahl, Elijah Wood, Rosario Dawson, Jaime King, Michael Clarke Duncan, Carla Gugino, Devon Aoki, Alexis Bledel, Josh Hartnett, Makenzie Vega, Nicky Katt, Powers Boothe, Jason Douglas, Frank Miller, Arie Verveen, Tommy Flanagan, Penny Drake, Jude Ciccolella, Rick Gomez, Clark Middleton, Jason McDonald, Nick Offerman, Jaime King, Cara D. Briggs, Jesse De Luna, Christina Frankenfield, David H. Hickey, Evelyn Hurley, Greg Ingram, Helen Kirk, Ethan Maniquis, John McLeod, Ethan Rains, Lisa Marie Newmyer, Tommy Nix, Marco Perella, Sam Ray, Randal Reeder, David Alex Ruiz, Ryan Rutledge, Marley Shelton, Jeff Schwan, Korey Simeone, Paul T. Taylor, Scott Teeters, Scott Teeters, Ken Thomas, Rico Torres, Patricia Vonne, Shaun Wainwright-Branigan, Chris Warner, Danny Wynands, J.D. Young, Charissa Allen, Joe Basquez, Jessica Hale, Samantha Inoue-Harte, Michael Lambert, Ashley Moore, Amanda Phillips, Lauren Elaine, Texas Presley, Emmy Robbin, Kelley Robins, Robert Rodriguez, Dara Rolins, Jeffrey J. Dashnaw"
"Ghost Rider","2007","Mark Steven Johnson","Avi Arad, Gary Foster, Steven Paul, Michael De Luca","Nicolas Cage, Eva Mendes, Wes Bentley, Sam Elliott, Peter Fonda, Donal Logue, Brett Cullen, Matt Long, Laurence Breuls, Raquel Alessi, Rebel Wilson, Tony Ghosthawk, Hugh Sexton, Marcus Jones, Matt Norman, Kenneth Ransom, Lawrence Cameron Steele, Eddie Baroo, Jessica Napier, Daniel Frederiksen, Mathew Wilkinson, Kirstie Hutton, Alexis Porter, Gibson Nolte, Ryan Johnson, Jonathan Oldham, Peter Callan, Peter Barry, Bruce Hughes, Rita Kalnejais, David Roberts, Arthur Angel, Jason Raftopoulos, Brett Swain, Duncan Young, Joel Tobeck, Jacob Vanderpuije, Fabio Robles, Marty Fields, Troy Planet, Charlie Garber, Vittorio Scalise, Richard Ian Cox, Ling-Hsueh Tang, Estefanie Sousa, Sally Arnott, Noel Herriman, Braydn Michael, Elizabeth Saunders, Geoff Burgess, Anita Marelic, Stefano Mazzeo, Jean McConnell, Julia Perri"
"Birth","2004","Jonathan Glazer","Lizie Gower, Nick Morris, Jean-Louis Piel","Nicole Kidman, Lauren Bacall, Cameron Bright, Danny Huston, Alison Elliott, Arliss Howard, Michael Desautels, Anne Heche, Peter Stormare, Ted Levine, Cara Seymour, Joe M. Chalmers, Novella Nelson, Zoe Caldwell, Charles Goff, Sheila Smith, Milo Addica, Scott Johnsen"
"The Lookout","2007","Scott Frank","Roger Birnbaum, Laurence Mark, Walter Parkes, Gary Barber","Joseph Gordon-Levitt, Jeff Daniels, Matthew Goode, Bruce McGill, Isla Fisher, Alberta Watson, Alex Borstein, Sergio Di Zio, David Huband, Laura Vandervoort, Carla Gugino, Greg Dunham, Morgan Kelly, Aaron Berg, Tinsel Korey, Suzanne Kelly, Brian Edward Roach, Martin Roach, Ofield Williams, Julie Pederson, Stephen Eric McIntyre, Janaya Stephens, Marc Devigne, Courtney-Jane White, Thanya Romero, Paul Christie, Tracy McMahon, Gordie Farrell, Toni Reimer, Ted Felbel, Charles Crossin, Chuck Robinson, Kalyn Bomback, John Bluethner, Leslie Bais, Harry Nelken, Andrew Degryse, Shailee Ferguson"
"Primer","2004","Shane Carruth","Shane Carruth","Shane Carruth, David Sullivan, Casey Gooden, Carrie Crawford, Juan Tapia, Samantha Thomson, Chip Carruth, John Carruth, Jay Butler, Anand Upadhyaya, Ashley Warren, Delaney Price, Jack Pyland, Keith Bradshaw, Ashok Upadhyaya, Brandon Blagg, Jon Cook, David Joyner, Eric De Soualhat, Kevin Lucero Less"
"Hero","1992","Stephen Frears","Laura Ziskin","Maury Chaykin, Joan Cusack, Dustin Hoffman, Geena Davis, Stephen Tobolowsky, Chevy Chase, Kevin J. O'Connor, Andy García, Tom Arnold, Cady Huffman, Christian Clemenson, Warren Berlinger, Suzy Brack"
"Barry Lyndon","1975","Stanley Kubrick","Stanley Kubrick, Jan Harlan","Ryan O'Neal, Marisa Berenson, Steven Berkoff, Wolf Kahler, Patrick Magee, Hardy Krüger, Diana Körner, Leon Vitali, Godfrey Quigley, Gay Hamilton, Marie Kean, Murray Melvin, Frank Middlemass, André Morell, Arthur O'Sullivan, Leonard Rossiter, Philip Stone, John Bindon, Roger Both, Billy Boyle, Jonathan Cecil, Peter Cellier, Geoffrey Chater, Anthony Dawes, Patrick Dawson, Bernard Hepton, Anthony Herrick, Barry Jackson, Pat Laffan, Hans Meyer, Ferdy Mayne, David Morley, Liam Redmond, Pat Roach, Dominic Savage, Frederick Schiller, George Sewell, Anthony Sharp, John Sharp, Roy Spencer, John Sullivan, Harry Towb, Michael Hordern, Norman Gay, Vivian Kubrick, Gary Taylor"
"Citizen Kane","1941","Orson Welles","Orson Welles","Joseph Cotten, Dorothy Comingore, Ruth Warrick, Everett Sloane, George Coulouris, Ray Collins, Agnes Moorehead, Orson Welles, Philip Van Zandt, Sonny Bupp, Gus Schilling, Fortunio Bonanova, Buddy Swan, Erskine Sanford, William Alland, Georgia Backus, Paul Stewart, Harry Shannon, Thomas A. Curran, Carl Ekberg, Herman J. Mankiewicz, Alan Ladd, Louise Currie, Walter Sande, Arthur O'Connell, Charles Bennett"
"Eyes Wide Shut","1999","Stanley Kubrick","Stanley Kubrick","Tom Cruise, Nicole Kidman, Sydney Pollack, Sky du Mont, Todd Field, Christiane Kubrick, Katharina Kubrick, Leelee Sobieski, Thomas Gibson, Julienne Davis, Alan Cumming, Rade Šerbedžija, Marie Richardson, Leslie Lowe, Jackie Sawiris, Madison Eginton, Lisa Leone, Michael Doven, Mariana Hewett, Stewart Thorndike, Randall Paul, Louise J. Taylor, Kevin Connealy, Peter Benson, Vinessa Shaw, Stanley Kubrick, Dan Rollman, Gavin Parry, Chris Pare, Adam Lias, Christian Clarke, Kyle Whitcombe, Gary Goba, Florian Windorfer, Togo Igawa, Eiji Kusuhara, Sam Douglas, Angus MacInnes, Abigail Good, Abigail Good, Brian W. Cook, Leon Vitali, Carmela Marner, Fay Masterson, Phil Davies, Cindy Dolenc, Clark Hayes, Treva Etienne, Colin Angus, Karla Ashley, Kate Charman, James Demaria, Anthony Desergio, Janie Dickens, Laura Fallace, Vanessa Fenton, Georgina Finch, Peter Godwin, Joanna Heath, Lee Henshaw, Ateeka Poole, Adam Pudney, Sharon Quinn, Ben De Saumserez, Emma Lou Sharratt, Paul Spelling, Matthew Thompson, Dan Travers, Russell Trigg, Kate Whalin, Emilio D'Alessandro, Donna Ewin, Trés Hanley, Alexander Phillip Hobbs, Kurt Leitner, Taylor Murphy"
"Full Metal Jacket","1987","Stanley Kubrick","Stanley Kubrick","Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey, Arliss Howard, Stanley Kubrick, Dorian Harewood, Ed O'Ross, John Terry, Kevyn Major Howard, Kieron Jecchinis, Jon Stafford, Ian Tyler, Tim Colceri, Bruce Boa, Kirk Taylor, Sal Lopez, Gary Landon Mills, Papillon Soo Soo, Peter Edmund, Ngoc Le, Leanne Hong, Tan Hung Francione, Marcus D'Amico, Costas Dino Chimona, Gil Kopel, Keith Hodiak, Peter Merrill, Herbert Norville, Nguyen Hue Phong, Duc Hu Ta, Martin Adams, Kevin Albridge, Del Anderson, Philip Bailey, Louis Barlotti, John Beddows, Patrick Benn, Steve Boucher, Adrian Bush, Tony Carey, Gary Cheeseman, Wayne Clark, Chris Cornibert, Danny Cornibert, John Davis, Harry Davies, Kevin Day, Gordon Duncan, Phil Elmer, Colin Elvis, Hadrian Follett, Sean Frank, David George, Laurie Gomes, Brian Goodwin, Nigel Goulding, Tony Hague, Steve Hands, Bob Eric Hart, Barry Hayes, Tony Hayes, Robin Hedgeland, Duncan Henry, Kenneth Head, Liam Hogan, Trevor Hogan, Luke Hogdal, Steve Hudson, Tony Howard, Sean Lamming, Daniel Landin, Tony Leete, Nigel Lough, Terry Lowe, Frank McCardle, Gary Meyer, Brett Middleton, David Milner, Sean Minmagh, Tony Minmagh, Russell Mott, John Ness, Robert Nichols, David Perry, Peter Rommely, Pat Sands, Jim Sarup, Chris Maybach, Al Simpson, Russell Slater, Anthony Styliano, Mike Turjansky, Dan Weldon, Dennis Wells, Michael Williams, Vivian Kubrick, David Palffy, John Ward, John Curtis"
"Glen or Glenda","1953","Ed Wood","George Weiss","Ed Wood, Dolores Fuller, Bela Lugosi, Lyle Talbot, Conrad Brooks, Daniel Davis, Timothy Farrell, Tommy Haynes"
"Natural Born Killers","1994","Oliver Stone","Jane Hamsher, Don Murphy, Clayton Townsend","Woody Harrelson, Juliette Lewis, Robert Downey Jr., Tommy Lee Jones, Tom Sizemore, Ashley Judd, Rodney Dangerfield, Richard Lineback, Edie McClurg, O-Lan Jones, Everett Quinton, Adrien Brody, Steven Wright, Balthazar Getty, Jared Harris, Kirk Baltz, Pruitt Taylor Vince, Lanny Flaherty, Russell Means, Ed White, Terrylene, Maria Pitillo, Josh Richman, Sean Stone, Melinda Renna, Jerry Gardner, Jack Caffrey, Leon Skyhorse Thomas, Cory Everson, Dale Dye, Edward Conna, Evan Handler, Matthew Faber, Jamie Harrold, Jake Beecham, Saemi Nakamura, Keiko Seiko, Katharine McQueen, Salvator Xuereb, Natalie Karp, Emmanuel Xuereb, Jessie Rutkowski, Sally Jackson, Phil Neilson, Brian Barker, Corinna Laszlo, Red West, Gerry Runnels, Jeremiah Bitsui, Lorraine Farris, Glen Chin, Peter Crombie, John M. Watson Sr., Joe Grifasi, Douglas Crosby, Carl Ciarfalio, Marshall Bell, Carol-Renee Modrall, Jimmy Carrane, Robert Swan, Louis Lombardi, Robert Jordan, David Paul, Peter Paul, Rachel Ticotin, John Busse, Hank Corwin, Paul Dillon, Herb Gains, James Gammon, Jennifer Say Gan, Danny Goldring, Jane Hamsher, Mark Harmon, Arliss Howard, Boris Karloff, Kathy Long, Robert Marshall, Don Murphy, David Pasquesi, Robyn Reede, Chris Renna, Jack Rooney, Richard Rutowski, Keith Schrader, Kent Shelton, Michael Thomas, Kevin Watson, Saemi Nakamura, Hank Corwin, Arliss Howard"
"Original Sin","2001","Michael Cristofer","Denise Di Novi, Kate Guinzburg, Carol Lees","Angelina Jolie, Antonio Banderas, Thomas Jane, Jack Thompson, Pedro Armendáriz Jr., Gregory Itzin, James Haven, Allison Mackie, Joan Pringle, Cordelia Richards, Thomas Jane, Thomas Jane, Lisa Owen, Mario Iván Martínez, Shaula Vega, Fernando Torre Laphan, Harry Porter, Angelina Jolie"
